book,mode,alpha,gate,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,frac_days_lt_1,exact_t1,live_wire
BASE_E16_E18_E22_v2s,CONST,0.0,,full,0.13789395672938531,-0.22543344437825508,0.13297638346349747,0.025177234540257776,3351,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,oof_2011_2018,0.08891395615228181,-0.17552258063858128,0.10689317000099306,0.0011526658329911732,1495,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,validation_2019_2022,0.12303252832234746,-0.2254334443782552,0.13563392852620926,0.010315806133219863,977,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.16567513128978922,0.17845648547616838,879,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.15058731210766724,0.06931850010559942,1856,1.0,0.0,True,False
BLEND_E45_A05,CONST,0.05,,full,0.13365973293663336,-0.21840933817863817,0.12820091869049402,0.024455063847314273,3351,0.9953398647195717,0.9833472106577852,True,False
BLEND_E45_A05,CONST,0.05,,oof_2011_2018,0.09059826880442223,-0.17400932146960701,0.10509644430893639,0.0035936080696187256,1495,0.9953398647195717,0.9833472106577852,True,False
BLEND_E45_A05,CONST,0.05,,validation_2019_2022,0.11728002355878164,-0.21840933817863817,0.13297288345496505,0.008075354469462559,977,0.9953398647195717,0.9833472106577852,True,False
BLEND_E45_A05,CONST,0.05,,sealed_2023_plus,0.2346963910554447,-0.11308673030842753,0.15541388862284303,0.17815302590123094,879,0.9953398647195717,0.9833472106577852,True,False
BLEND_E45_A05,CONST,0.05,,heldout_2019_plus,0.1724320147835161,-0.21840933817863817,0.14401385009266165,0.06322734569419702,1856,0.9953398647195717,0.9833472106577852,True,False
BLEND_E45_A25,CONST,0.25,,full,0.12460447735272973,-0.22091438224309323,0.12013913038906245,0.01414728623118311,3351,0.9766993235978588,0.9833472106577852,True,False
