order_id,signal_date,code,side,quantity,reference_close
2026-08-24-0050-BUY,2026-08-24,0050,BUY,2000,103.8
2026-08-24-2412-BUY,2026-08-24,2412,BUY,2000,136.5
2026-08-24-2880-BUY,2026-08-24,2880,BUY,11000,39.25
2026-08-24-2886-BUY,2026-08-24,2886,BUY,9000,46.85
2026-08-24-2892-BUY,2026-08-24,2892,BUY,13000,33.55
2026-08-24-3045-BUY,2026-08-24,3045,BUY,2000,115.0
2026-08-24-4904-BUY,2026-08-24,4904,BUY,2000,101.5
2026-08-24-5880-BUY,2026-08-24,5880,BUY,18000,25.0
2026-08-25-0050-BUY,2026-08-25,0050,BUY,3000,104.4
2026-08-25-2412-BUY,2026-08-25,2412,BUY,2000,136.5
2026-08-25-2880-BUY,2026-08-25,2880,BUY,11000,39.8
2026-08-25-2886-BUY,2026-08-25,2886,BUY,9000,47.0
2026-08-25-2892-BUY,2026-08-25,2892,BUY,13000,33.8
2026-08-25-3045-BUY,2026-08-25,3045,BUY,2000,115.5
2026-08-25-4904-BUY,2026-08-25,4904,BUY,3000,102.5
2026-08-25-5880-BUY,2026-08-25,5880,BUY,17000,25.05
2026-08-26-0050-BUY,2026-08-26,0050,BUY,2000,105.9
2026-08-26-2412-BUY,2026-08-26,2412,BUY,1000,136.0
2026-08-26-2880-BUY,2026-08-26,2880,BUY,12000,39.6
2026-08-26-2886-BUY,2026-08-26,2886,BUY,10000,46.6
2026-08-26-2892-BUY,2026-08-26,2892,BUY,14000,33.4
2026-08-26-3045-BUY,2026-08-26,3045,BUY,2000,115.5
2026-08-26-4904-BUY,2026-08-26,4904,BUY,2000,101.0
2026-08-26-5880-BUY,2026-08-26,5880,BUY,19000,25.0
2026-08-27-0050-BUY,2026-08-27,0050,BUY,3000,106.05
2026-08-27-2412-BUY,2026-08-27,2412,BUY,1000,135.5
2026-08-27-2880-BUY,2026-08-27,2880,BUY,13000,39.35
2026-08-27-2886-BUY,2026-08-27,2886,BUY,11000,46.15
2026-08-27-2892-BUY,2026-08-27,2892,BUY,16000,33.35
2026-08-27-3045-BUY,2026-08-27,3045,BUY,1000,115.5
2026-08-27-4904-BUY,2026-08-27,4904,BUY,1000,101.5
2026-08-27-5880-BUY,2026-08-27,5880,BUY,21000,25.05
2026-08-28-0050-BUY,2026-08-28,0050,BUY,3000,106.95
2026-08-28-2880-BUY,2026-08-28,2880,BUY,14000,40.25
2026-08-28-2886-BUY,2026-08-28,2886,BUY,12000,48.2
2026-08-28-2892-BUY,2026-08-28,2892,BUY,17000,34.4
2026-08-28-5880-BUY,2026-08-28,5880,BUY,23000,25.25
2026-08-31-0050-BUY,2026-08-31,0050,BUY,1000,106.25
2026-08-31-2880-BUY,2026-08-31,2880,BUY,5000,41.35
2026-08-31-2886-BUY,2026-08-31,2886,BUY,4000,48.55
2026-08-31-2892-BUY,2026-08-31,2892,BUY,6000,35.3
2026-08-31-5880-BUY,2026-08-31,5880,BUY,8000,25.55
2026-09-01-2880-BUY,2026-09-01,2880,BUY,2000,41.95
2026-09-01-2886-BUY,2026-09-01,2886,BUY,2000,48.5
2026-09-01-2892-BUY,2026-09-01,2892,BUY,2000,35.9
2026-09-01-5880-BUY,2026-09-01,5880,BUY,4000,25.6
2026-09-02-2880-BUY,2026-09-02,2880,BUY,1000,43.0
2026-09-02-2886-BUY,2026-09-02,2886,BUY,1000,49.0
2026-09-02-2892-BUY,2026-09-02,2892,BUY,1000,36.25
2026-09-02-5880-BUY,2026-09-02,5880,BUY,2000,26.3
2026-09-03-0050-BUY,2026-09-03,0050,BUY,1000,106.2
2026-09-03-5880-BUY,2026-09-03,5880,BUY,1000,26.7
2026-09-04-5880-BUY,2026-09-04,5880,BUY,1000,26.65
2026-09-07-5880-BUY,2026-09-07,5880,BUY,1000,26.5
