date,core_idx,ovl_idx,regime,nav_core_100,nav_core_90_ovl_10,nav_core_80_ovl_20,nav_core_70_ovl_30
2019-01-02,1.0,1.0,Crisis,1.0,1.0,1.0,1.0
2019-01-03,1.002502975906129,0.9980786985053768,Crisis,1.002502975906129,1.0020605481660538,1.0016181204259786,1.0011756926859032
2019-01-04,0.9991679965797756,0.9624227421687288,Crisis,0.9991679965797756,0.995493471138671,0.9918189456975662,0.9881444202564615
2019-01-07,1.0154987012795385,1.004106939217765,Bear,1.0154987012795385,1.0143595250733612,1.0132203488671838,1.0120811726610064
2019-01-08,1.0093612183562093,1.0032145593630934,Crisis,1.0093612183562093,1.0087465524568977,1.0081318865575861,1.0075172206582745
2019-01-09,1.0206113318917278,1.0194733452455775,Bear,1.0206113318917278,1.020497533227113,1.0203837345624978,1.0202699358978826
2019-01-10,1.0214614389267345,1.0190017574406975,Bear,1.0214614389267345,1.021215470778131,1.0209695026295271,1.0207235344809233
2019-01-11,1.0223872795324125,1.019372373297362,Bear,1.0223872795324125,1.0220857889089074,1.0217842982854024,1.0214828076618974
2019-01-14,1.021702702360305,1.021246685910291,Bear,1.021702702360305,1.0216571007153037,1.0216114990703022,1.0215658974253008
2019-01-15,1.0264792185969784,1.024587824934435,Bear,1.0264792185969784,1.0262900792307241,1.0261009398644698,1.0259118004982153
2019-01-16,1.0206842337596933,1.038544135618085,Bear,1.0206842337596933,1.0224702239455326,1.0242562141313716,1.0260422043172108
2019-01-17,1.0246372854836445,1.0358066309023592,Bear,1.0246372854836445,1.025754220025516,1.0268711545673874,1.027988089109259
2019-01-18,1.0306097064093134,1.036561465769752,Bear,1.0306097064093134,1.0312048823453572,1.031800058281401,1.032395234217445
2019-01-21,1.0288874197669597,1.0418852039141853,Bear,1.0288874197669597,1.0301871981816824,1.031486976596405,1.0327867550111274
2019-01-22,1.032888304174167,1.0382723926191697,Bear,1.032888304174167,1.0334267130186674,1.0339651218631676,1.0345035307076678
2019-01-23,1.034621091151853,1.0302203468318811,Bear,1.034621091151853,1.0341810167198557,1.0337409422878587,1.0333008678558613
2019-01-24,1.0362317681643496,1.0311211307829604,Bear,1.0362317681643496,1.0357207044262107,1.0352096406880718,1.0346985769499328
2019-01-25,1.0403523015975922,1.039679287752436,Bear,1.0403523015975922,1.0402850002130766,1.040217698828561,1.0401503974440451
2019-01-28,1.0390962158467114,1.0428296511997814,Bear,1.0390962158467114,1.0394695593820185,1.0398429029173255,1.0402162464526323
2019-01-29,1.040322236930618,1.0397864057297854,Bear,1.040322236930618,1.0402686538105348,1.0402150706904516,1.0401614875703682
2019-01-30,1.0411453467212581,1.0438982631799505,Bear,1.0411453467212581,1.0414206383671274,1.0416959300129967,1.0419712216588657
2019-02-11,1.0387212180571141,1.0578648009334422,Bear,1.0387212180571141,1.040635576344747,1.0425499346323799,1.0444642929200125
2019-02-12,1.0422806561432731,1.05381515217385,Bear,1.0422806561432731,1.0434341057463308,1.0445875553493886,1.045741004952446
