model,split,cagr,volatility,sharpe,max_drawdown,total_return,base_cagr,base_sharpe,base_mdd,cagr_delta,sharpe_delta,turnover,cost_drag
E10S2_A_telco_to_financial,Train_2010_2018,0.0866886089027088,0.15624506504216684,0.6200910539325317,-0.2753486606959674,1.1097420849437736,0.08738266622351687,0.6245561451092625,-0.2730480474202819,-0.0006940573208080725,-0.004465091176730773,0.32807663964627853,0.010981499999999998
E10S2_A_telco_to_financial,Validation_2019_2022,0.11890426429264922,0.14830937152417245,0.8552051863158998,-0.25544667626618645,0.5659249822058308,0.12023794842249402,0.8722977933016296,-0.24909846120578194,-0.0013336841298448032,-0.017092606985729786,0.32807663964627853,0.010981499999999998
E10S2_A_telco_to_financial,Blind_2023_2025,0.19794927328554524,0.14218507865026828,1.409986455127103,-0.15132801326785883,0.7168198075363956,0.19842580637373786,1.4364562498342777,-0.1468861358267256,-0.0004765330881926211,-0.026469794707174588,0.32807663964627853,0.010981499999999998
E10S2_A_telco_to_financial,FinalOOS_2026,0.5147971264733655,0.17762094762782385,2.5674611172506956,-0.07680832111942038,0.30628865234618563,0.4937594916140655,2.556489396715367,-0.07442472704061764,0.021037634859299992,0.0109717205353288,0.32807663964627853,0.010981499999999998
E10S2_B_telco_to_0050,Train_2010_2018,0.08660281884721832,0.15623790611950136,0.6195984399975111,-0.2762139537541467,1.1082468548836983,0.08738266622351687,0.6245561451092625,-0.2730480474202819,-0.0007798473762985481,-0.00495770511175142,0.32807663964627853,0.010981499999999998
E10S2_B_telco_to_0050,Validation_2019_2022,0.12031599568478524,0.14818760810053566,0.8645491619757333,-0.2548638912085833,0.57382661762751,0.12023794842249402,0.8722977933016296,-0.24909846120578194,7.804726229121428e-05,-0.007748631325896316,0.32807663964627853,0.010981499999999998
E10S2_B_telco_to_0050,Blind_2023_2025,0.1984315148153366,0.1426467489629269,1.4088602706535096,-0.15292240076697927,0.7188887813332367,0.19842580637373786,1.4364562498342777,-0.1468861358267256,5.708441598750724e-06,-0.02759597918076806,0.32807663964627853,0.010981499999999998
E10S2_B_telco_to_0050,FinalOOS_2026,0.5233966889907296,0.17760384847388433,2.6015698915110144,-0.07600514277205939,0.3110551564854649,0.4937594916140655,2.556489396715367,-0.07442472704061764,0.029637197376664037,0.045080494795647574,0.32807663964627853,0.010981499999999998
E10S2_C_split_financial_0050,Train_2010_2018,0.08664576380216071,0.15624117431697102,0.6198459874633576,-0.2757812792308324,1.1089952223375406,0.08738266622351687,0.6245561451092625,-0.2730480474202819,-0.0007369024213561559,-0.004710157645904878,0.32807663964627876,0.010981500000000009
E10S2_C_split_financial_0050,Validation_2019_2022,0.11961038782002253,0.1482455345489375,0.8598923970322596,-0.25515523846192445,0.5698735170316247,0.12023794842249402,0.8722977933016296,-0.24909846120578194,-0.0006275606024714886,-0.012405396269369984,0.32807663964627876,0.010981500000000009
E10S2_C_split_financial_0050,Blind_2023_2025,0.1981930129012952,0.1423996669140874,1.409583256300781,-0.15212490286449176,0.7178653227915439,0.19842580637373786,1.4364562498342777,-0.1468861358267256,-0.00023279347244264947,-0.026872993533496592,0.32807663964627876,0.010981500000000009
E10S2_C_split_financial_0050,FinalOOS_2026,0.5191160161537733,0.17751130378852228,2.585986587489535,-0.07640604574497434,0.3086836984526664,0.4937594916140655,2.556489396715367,-0.07442472704061764,0.025356524539707825,0.029497190774168125,0.32807663964627876,0.010981500000000009
