,Financial,Telecom,0050,DEF
2011-12-01,0.8875000000000001,0.1,0.0125,0.0
2011-12-02,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-05,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-06,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-07,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-08,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-09,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-12,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-13,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-14,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-15,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-16,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-19,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-20,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-21,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-22,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-23,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-26,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-27,0.7839583333333334,0.1,0.011041666666666668,0.105
2011-12-28,0.7691644338076534,0.1060636520522891,0.02047934021282457,0.10429257392723294
2011-12-29,0.7490495832620722,0.11581199678031873,0.031983152915312965,0.10315526704229615
2011-12-30,0.7348085580920247,0.11888700153228852,0.04350792388778713,0.10279651648789967
2012-01-02,0.72326136901539,0.12512092168561698,0.04954848349564845,0.10206922580334468
2012-01-03,0.72326136901539,0.12512092168561698,0.04954848349564845,0.10206922580334468
2012-01-04,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-05,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-06,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-09,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-10,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-11,0.7177058682695081,0.12134426810967845,0.05844002823360934,0.10250983538720418
2012-01-12,0.6921467994613214,0.1112216919679335,0.06226197360372392,0.13436953496702125
2012-01-13,0.6850165031000055,0.1112216919679335,0.06162056873963946,0.14214123619242167
2012-01-16,0.6907974590331835,0.1112216919679335,0.06214059386436148,0.13584025513452166
2012-01-17,0.6727270330373704,0.1112216919679335,0.06051507108908462,0.15553620390561163
2012-01-18,0.6727270330373704,0.1112216919679335,0.06051507108908462,0.15553620390561163
2012-01-30,0.6727270330373704,0.1112216919679335,0.06051507108908462,0.15553620390561163
2012-01-31,0.6727270330373704,0.1112216919679335,0.06051507108908462,0.15553620390561163
2012-02-01,0.6890066873338838,0.10055535006527747,0.06515840190492116,0.14527956069591758
2012-02-02,0.7039714523932814,0.10055535006527747,0.0665735988748171,0.128899598666624
2012-02-03,0.7033526132304921,0.10055535006527747,0.06651507611789066,0.12957696058633975
2012-02-04,0.7018969841066754,0.10055535006527747,0.06637741930088478,0.1311702465271623
2012-02-06,0.7373165927726334,0.10055535006527747,0.06972700231538626,0.09240105484670294
2012-02-07,0.7167638362198154,0.10055535006527747,0.0677833567799496,0.11489745693495756
2012-02-08,0.7229046374298541,0.10055535006527747,0.06836408378974135,0.1081759287151271
2012-02-09,0.7255698347416961,0.10055535006527747,0.06861612778407888,0.10525868740894762
2012-02-10,0.7178827432863771,0.10055535006527747,0.06788917026141142,0.11367273638693405
2012-02-13,0.7288585542171886,0.10055535006527747,0.06892713740020594,0.10165895831732803
2012-02-14,0.725441281745137,0.10055535006527747,0.06860397070640481,0.10539939748318075
2012-02-15,0.7095029511552486,0.10055535006527747,0.06709670500149853,0.1228449937779754
2012-02-16,0.7069601146279421,0.10055535006527747,0.06685623249597629,0.12562830281080423
2012-02-17,0.7007438837601975,0.10055535006527747,0.06626837220860872,0.1324323939659164
2012-02-20,0.6893962999629238,0.10055535006527747,0.06519524702810633,0.14485310294369236
2012-02-21,0.6786905412191829,0.10055535006527747,0.0641828183481743,0.1565712903673653
2012-02-22,0.6779308598554948,0.10055535006527747,0.06411097634065124,0.15740281373857645
2012-02-23,0.6853896093847021,0.10055535006527747,0.06481633988568854,0.14923870066433192
2012-02-24,0.6827675178688163,0.10055535006527747,0.06456837234638252,0.15210875971952378
2012-02-29,0.6889248575596795,0.10055535006527747,0.06515066337725021,0.1453691289977929
2012-03-01,0.6973808584197048,0.10055535006527747,0.06595033559041538,0.13611345592460242
2012-03-02,0.6876599801991804,0.10055535006527747,0.06503104568858198,0.1467536240469602
2012-03-03,0.6779308598554948,0.10055535006527747,0.06411097634065124,0.15740281373857645
2012-03-05,0.7373566120908805,0.09751452190661052,0.08501333858103637,0.08011552742147264
2012-03-06,0.7202546963773804,0.09097904783861907,0.09583105656905162,0.09293519921494907
2012-03-07,0.7190196899214052,0.09097904783861907,0.09566673695525255,0.09433452528472326
2012-03-08,0.7097296585596916,0.09097904783861907,0.09443068320172565,0.1048606103999638
2012-03-09,0.7383122821283581,0.09097904783861907,0.09823364766676486,0.0724750223662581
2012-03-12,0.7361207240737406,0.09097904783861907,0.0979420573099609,0.07495817077767951
2012-03-13,0.7283909630999679,0.09097904783861907,0.09691360006439406,0.08371638899701903
2012-03-14,0.7488334017062567,0.09097904783861907,0.09963349970592614,0.06055405074919817
2012-03-15,0.7486703024827249,0.09097904783861907,0.09961179908947024,0.06073885058918585
2012-03-16,0.757269024846411,0.07801685505059594,0.10848030356887998,0.05623381653411318
2012-03-19,0.7463658701025824,0.07801685505059594,0.10691840482792872,0.06869887001889306
2012-03-20,0.7502697581492722,0.07801685505059594,0.10747764460469067,0.06423574219544123
2012-03-21,0.7393660173997683,0.07801685505059594,0.10591566191725346,0.07670146563238237
2012-03-22,0.7387926552300634,0.07801685505059594,0.10583352663879399,0.07735696308054667
2012-03-23,0.7549109497439686,0.06692186742524611,0.11291271543565122,0.06525446739513414
2012-03-26,0.7642848762017009,0.06692186742524611,0.11431478211781504,0.05447847425523788
2012-03-27,0.7374555529150815,0.06692186742524611,0.1103018959004134,0.08532068375925904
2012-03-28,0.748709789120084,0.0772337779048081,0.11292761424712566,0.061128818727982245
2012-03-29,0.7366749288454548,0.0772337779048081,0.11111240082483474,0.07497889242490234
2012-03-30,0.696263891298176,0.0879038136555543,0.10393633920829728,0.11189595583797235
2012-04-02,0.6834535444192928,0.0879038136555543,0.1020240462182112,0.12661859570694162
2012-04-03,0.6922524013506542,0.09871232182631065,0.09558067415738757,0.11345460266564761
2012-04-05,0.7125973029955998,0.09871232182631065,0.0983897354348863,0.09030063974320339
2012-04-06,0.6861716932609231,0.09871232182631065,0.09474109862476854,0.12037488628799778
2012-04-09,0.684259303302079,0.09871232182631065,0.09447705111671872,0.1225513237548917
2012-04-10,0.6681281705067427,0.09871232182631065,0.09224979333546389,0.14090971433148286
2012-04-11,0.679341366579143,0.09871232182631065,0.09379802175326045,0.12814828984128598
2012-04-12,0.6889383659046221,0.09871232182631065,0.09512309865241972,0.11722621361664763
2012-04-13,0.7035672488963822,0.09871232182631065,0.09714293779749726,0.10057749147980988
2012-04-16,0.6750942140283064,0.11027842073162797,0.08964239765935945,0.12498496758070628
2012-04-17,0.6704725928129527,0.12433484679507745,0.08284699331362286,0.12234556707834718
2012-04-18,0.6717773384666599,0.12433484679507745,0.08300821430253032,0.12087960043573254
2012-04-19,0.6754357233984863,0.12433484679507745,0.08346026289517167,0.11676916691126471
2012-04-20,0.6956268631802174,0.12433484679507745,0.0859551825092209,0.09408310751548446
2012-04-23,0.6911805516038955,0.12544541553308636,0.07125224003513543,0.11212179282788277
2012-04-24,0.69992833587656,0.14285989587898656,0.055761756100561666,0.10145001214389186
2012-04-25,0.6984488396470833,0.1536408038504833,0.05021364082695134,0.09769671567548219
2012-04-26,0.7073046804777432,0.1536408038504833,0.05085031453223818,0.08820420113953545
2012-04-27,0.7023050980313523,0.1609358011956952,0.040886905293024606,0.09587219547992788
2012-04-30,0.7190405808123757,0.16654064542292973,0.0318996219909777,0.08251915177371698
2012-05-02,0.7255918759088367,0.16654064542292973,0.032190264609357234,0.07567721405887645
2012-05-03,0.7193362927944322,0.16654064542292973,0.031912741000804865,0.08221032078183325
2012-05-04,0.7170721243507634,0.16654064542292973,0.03181229309924785,0.08457493712705914
2012-05-07,0.7284954497110033,0.16654064542292973,0.03231907918419997,0.07264482568186713
2012-05-08,0.7001616497739016,0.16654064542292973,0.0310620743201068,0.102235630483062
2012-05-09,0.7073359370491992,0.16654064542292973,0.03138035545505764,0.09474306207281358
2012-05-10,0.7023930741265183,0.16654064542292973,0.031161069557996596,0.09990521089255547
2012-05-11,0.7036436004742687,0.16654064542292973,0.031216548092654436,0.0985992060101473
2012-05-14,0.696625064625718,0.16654064542292973,0.030905176736887644,0.1059291132144647
2012-05-15,0.7125741301532097,0.16654064542292973,0.031612743423682296,0.08927248100017839
2012-05-16,0.7134499000785587,0.16654064542292973,0.03165159620934585,0.08835785828916588
2012-05-17,0.6928838809836123,0.16654064542292973,0.03073920231601815,0.10983627127743992
2012-05-18,0.6913986959943841,0.17708786053161216,0.023053977588388255,0.10845946588561568
2012-05-21,0.6756490120975188,0.17708786053161216,0.022528820596212674,0.12473430677465648
2012-05-22,0.6774855150174139,0.17708786053161216,0.022590056895039328,0.1228365675559347
2012-05-23,0.6861136321675718,0.17708786053161216,0.022877752577085193,0.113920754723731
2012-05-24,0.6741731380332933,0.17708786053161216,0.022479609095240712,0.12625939233985403
2012-05-25,0.6743442622802154,0.17708786053161216,0.022485315057048608,0.12608256213112395
2012-05-28,0.6724249889449494,0.17708786053161216,0.022421318863949664,0.12806583165948887
2012-05-29,0.6735104643817333,0.17708786053161216,0.02245751292468097,0.12694416216197363
2012-05-30,0.6774463013878732,0.17708786053161216,0.022588749356940354,0.12287708872357447
2012-05-31,0.6771478275995364,0.17708786053161216,0.022578797055805132,0.12318551481304645
2012-06-01,0.6784303109791028,0.17708786053161216,0.022621560143530485,0.12186026834575475
2012-06-04,0.6384538250697785,0.2203158953987091,0.016735364506526403,0.124494915024986
2012-06-05,0.6291680498173604,0.2203158953987091,0.016491962669975553,0.134024092113955
2012-06-06,0.6312065023419173,0.2203158953987091,0.016545395267115962,0.13193220699225774
2012-06-07,0.6330092707708818,0.2203158953987091,0.016592650034171794,0.13008218379623745
2012-06-08,0.6433102993277793,0.21387290441277002,0.012459688006700676,0.1303571082527501
2012-06-11,0.6498336654563273,0.2065170950918875,0.009305706249289523,0.13434353320249565
2012-06-12,0.6693577416764533,0.1979815341836282,0.007086281814991509,0.12557444232492695
2012-06-13,0.6791112806769855,0.18652806641852898,0.005301610213031929,0.12905904269145366
2012-06-14,0.6919803464266162,0.17687486108199257,0.003995968396181266,0.1271488240952101
2012-06-15,0.7040055329595669,0.1654726798404181,0.003002885270329177,0.12751890192968582
2012-06-18,0.7134629249969173,0.1654726798404181,0.003043225099940032,0.11802117006272457
2012-06-19,0.7145680317737352,0.1654726798404181,0.0030479388538906527,0.11691134953195614
2012-06-20,0.7155938656447388,0.1654726798404181,0.0030523144749288736,0.11588114003991425
2012-06-21,0.7214021894219673,0.1654726798404181,0.003077089464754051,0.11004804127286065
2012-06-22,0.7120371363903094,0.1654726798404181,0.003037143500570511,0.11945304026870204
2012-06-25,0.7171652749576783,0.1654726798404181,0.0030590172090105886,0.11430302799289306
2012-06-26,0.708251296988044,0.1654726798404181,0.003020995273256014,0.12325502789828192
2012-06-27,0.7111548198114808,0.1654726798404181,0.003033380042281776,0.12033912030581942
2012-06-28,0.7289464583146135,0.1654726798404181,0.003109269004363481,0.10247159284060496
2012-06-29,0.7287605713828244,0.1654726798404181,0.0031084761169452957,0.10265827265981228
2012-07-02,0.7353219702372753,0.1654726798404181,0.003136463294673794,0.09606888662763288
2012-07-03,0.7659888019764075,0.1654726798404181,0.003267270473034979,0.06527124771013952
2012-07-04,0.78057753521166,0.15510199509670025,0.0031420805045403177,0.06117838918709953
2012-07-05,0.7829346658043479,0.15510199509670025,0.0031515687280003132,0.05881177037095155
2012-07-06,0.7782581434022142,0.15510199509670025,0.00313274419205616,0.06350711730902937
2012-07-09,0.7865756666578811,0.16490005808601607,0.004385159607780289,0.044139115648322534
2012-07-10,0.7784833113321555,0.16490005808601607,0.004340044724101066,0.05227658585772732
2012-07-11,0.7759792458033383,0.16490005808601607,0.00432608455793058,0.054794611552715054
2012-07-12,0.776219265072338,0.16490005808601607,0.004327422665436472,0.05455325417620957
2012-07-13,0.7626865911013042,0.16490005808601607,0.004251978003468753,0.06816137280921103
2012-07-16,0.7674951250705689,0.16490005808601607,0.004278785581974523,0.0633260312614405
2012-07-17,0.7706487872212925,0.16490005808601607,0.004296367249531947,0.06015478744315949
2012-07-18,0.771569774138954,0.16490005808601607,0.004301501751909555,0.059228666023120435
2012-07-19,0.7615265817551091,0.16490005808601607,0.00424551095097119,0.06932784920790362
2012-07-20,0.7615247560639136,0.16490005808601607,0.004245500772742157,0.06932968507732824
2012-07-23,0.7701813147160828,0.16490005808601607,0.004293761090157219,0.06062486610774403
2012-07-24,0.747942312432487,0.16490005808601607,0.004169778644900907,0.0829878508365961
2012-07-25,0.7549601425702525,0.16490005808601607,0.004208903050293653,0.07593089629343783
2012-07-26,0.7490478345157988,0.16490005808601607,0.004175941930889458,0.08187616546729565
2012-07-27,0.7488175255395646,0.16490005808601607,0.004174657958269021,0.08210775841615035
2012-07-30,0.7502447138786743,0.16490005808601607,0.0041826145337424915,0.08067261350156713
2012-07-31,0.759636794091015,0.16490005808601607,0.004234975384104396,0.0712281724388645
2012-08-01,0.7585058743926343,0.16490005808601607,0.004228670506403241,0.07236539701494643
2012-08-03,0.7585838696469294,0.16490005808601607,0.0042291053299723285,0.07228696693708225
2012-08-06,0.7478314547410262,0.16490005808601607,0.0041691606132335,0.08309932655972428
2012-08-07,0.7471520667504339,0.16490005808601607,0.004165373024956056,0.08378250213859405
2012-08-08,0.7603053007406914,0.15326261916040448,0.0031307911813206095,0.0833012889175836
2012-08-09,0.7834017527105733,0.13266831091235906,0.002359373709282225,0.08157056266778544
2012-08-10,0.8021116965454848,0.11329235058678382,0.004613471895811394,0.07998248097192001
