model,split,cagr,volatility,sharpe,max_drawdown,total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,cagr_delta,sharpe_delta,turnover,cost_drag_full
E10A_financial_benchmark,Train_2010_2018,0.08216404879687578,0.16857799663170953,0.5613822551541985,-0.3042958005599772,1.0321568189302597,0.08226699266159931,0.5619564305615965,-0.3042958005599772,-0.000102943864723537,-0.0005741754073980143,0.06182531894013738,0.000855
E10A_financial_benchmark,Validation_2019_2022,0.12928412146840818,0.15764008742865723,0.874065292427709,-0.266485216566934,0.624722462264544,0.12928412146840906,0.8740652924277136,-0.2664852165669348,-8.881784197001252e-16,-4.551914400963142e-15,0.06182531894013738,0.000855
E10A_financial_benchmark,Blind_2023_2025,0.20720795974939987,0.1485588291306129,1.4011549985960847,-0.15948683756880677,0.7568331847884466,0.2072079597493992,1.4011549985960732,-0.15948683756880677,6.661338147750939e-16,1.1546319456101628e-14,0.06182531894013738,0.000855
E10A_financial_benchmark,FinalOOS_2026,0.5261739829321226,0.18610541263683927,2.5012810468897286,-0.08338827995836351,0.3125924838605856,0.5261739829321235,2.5012810468897366,-0.08338827995836351,-8.881784197001252e-16,-7.993605777301127e-15,0.06182531894013738,0.000855
E10B_static10_telco,Train_2010_2018,0.08738266622351687,0.15614433931929975,0.6245561451092626,-0.2730480474202819,1.1218734650346396,0.08226699266159931,0.5619564305615965,-0.3042958005599772,0.005115673561917555,0.06259971454766611,0.061825318940137375,0.0008549999999999997
E10B_static10_telco,Validation_2019_2022,0.12023794842249402,0.14650590530387425,0.8722977933016296,-0.24909846120578194,0.5733889987343146,0.12928412146840906,0.8740652924277136,-0.2664852165669348,-0.00904617304591504,-0.0017674991260839823,0.061825318940137375,0.0008549999999999997
E10B_static10_telco,Blind_2023_2025,0.19849440482823577,0.1388330775303924,1.4344835247498162,-0.1468861358267256,0.7191587223514211,0.2072079597493992,1.4011549985960732,-0.15948683756880677,-0.008713554921163436,0.03332852615374304,0.061825318940137375,0.0008549999999999997
E10B_static10_telco,FinalOOS_2026,0.4937594916140662,0.172212119568945,2.5564893967153615,-0.07442472704061742,0.2945871902280768,0.5261739829321235,2.5012810468897366,-0.08338827995836351,-0.03241449131805729,0.055208349825624836,0.061825318940137375,0.0008549999999999997
E10C_staged_reentry,Train_2010_2018,0.0961863864632384,0.146465609704209,0.7119480224266044,-0.23107756184017791,1.2812241270117424,0.08226699266159931,0.5619564305615965,-0.3042958005599772,0.01391939380163909,0.14999159186500788,0.4327772325809616,0.014984999999999998
E10C_staged_reentry,Validation_2019_2022,0.1183738599713633,0.13652687356161597,0.9130974614013351,-0.21431812563849195,0.5629639413401328,0.12928412146840906,0.8740652924277136,-0.2664852165669348,-0.01091026149704577,0.039032168973621495,0.4327772325809616,0.014984999999999998
E10C_staged_reentry,Blind_2023_2025,0.18690428039099638,0.1330221856149299,1.4148767322008917,-0.13617432894840054,0.6698859309817546,0.2072079597493992,1.4011549985960732,-0.15948683756880677,-0.020303679358402826,0.013721733604818542,0.4327772325809616,0.014984999999999998
E10C_staged_reentry,FinalOOS_2026,0.4937594916140655,0.17221211956894505,2.5564893967153615,-0.0744247270406172,0.29458719022807633,0.5261739829321235,2.5012810468897366,-0.08338827995836351,-0.03241449131805796,0.055208349825624836,0.4327772325809616,0.014984999999999998
E10D_relative_harvest_reentry,Train_2010_2018,0.0961863864632384,0.146465609704209,0.7119480224266044,-0.23107756184017791,1.2812241270117424,0.08226699266159931,0.5619564305615965,-0.3042958005599772,0.01391939380163909,0.14999159186500788,0.4327772325809616,0.014984999999999998
E10D_relative_harvest_reentry,Validation_2019_2022,0.11937518230786948,0.13638797550188386,0.9206534964154718,-0.2136986782234711,0.5685574559165225,0.12928412146840906,0.8740652924277136,-0.2664852165669348,-0.009908939160539587,0.0465882039877582,0.4327772325809616,0.014984999999999998
E10D_relative_harvest_reentry,Blind_2023_2025,0.1869042803909975,0.13302218561492993,1.4148767322009084,-0.1361743289484001,0.6698859309817595,0.2072079597493992,1.4011549985960732,-0.15948683756880677,-0.020303679358401716,0.013721733604835196,0.4327772325809616,0.014984999999999998
E10D_relative_harvest_reentry,FinalOOS_2026,0.49375949161406507,0.17221211956894503,2.556489396715358,-0.0744247270406172,0.2945871902280761,0.5261739829321235,2.5012810468897366,-0.08338827995836351,-0.0324144913180584,0.05520834982562128,0.4327772325809616,0.014984999999999998
