date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_telecom,tgt_0050,tgt_def
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7601064934139373,0.09386168467541608,0.14603182191064668,0.0
2012-12-05,3004346.074002625,2516896.074002625,487450.0,0.16224828564792504,Bull,1.0,0.0,0.0,0.0,0.14435753715356464,0.0,0.017890748494360387,0.0,0.7724327378325808,0.07789626350656206,0.1496709986608572,0.0
2012-12-06,3003888.23254025,2067838.2325402498,936050.0,0.3116127923336301,Bull,1.0,0.0,0.0,0.0,0.27592571222234846,0.0,0.035687080111281605,0.0,0.7884189425820267,0.06592219762992155,0.1456588597880518,0.0
2012-12-07,3004130.255535125,1618680.2555351248,1385450.0,0.4611817338636704,Bull,1.0,0.0,0.0,0.0,0.4073558387640598,0.0,0.053825895099610596,0.0,0.8022555794961894,0.05694164822244116,0.1408027722813694,0.0
2012-12-10,2985921.5330448747,1168971.533044875,1816950.0,0.6085056087013703,Bull,1.0,0.0,0.0,0.0,0.5365680183719421,0.0,0.07193759032942806,0.0,0.7938118506069212,0.07656216653688068,0.12962598285619817,0.0
2012-12-11,2988964.858970625,757714.858970625,2231250.0,0.7464958958294425,Bull,1.0,0.0,0.0,0.0,0.6567491063364462,0.0,0.08974678949299629,0.0,0.7938118506069212,0.07656216653688068,0.12962598285619817,0.0
2012-12-12,3017725.2938323747,432975.29383237497,2584750.0,0.8565226282467495,Bull,1.0,0.0,0.0,0.0,0.7489581654828865,0.0,0.107564462763863,0.0,0.7938118506069212,0.07656216653688068,0.12962598285619817,0.0
2012-12-13,3028825.1955115,359025.1955115,2669800.0,0.8814638771350854,Bull,1.0,0.0,0.0,0.0,0.7731050320996016,0.0,0.10835884503548396,0.0,0.7982517855333519,0.06492162490266051,0.1368265895639876,0.0
2012-12-14,3027051.18917,304351.18917,2722700.0,0.8994562132748566,Bull,1.0,0.0,0.0,0.0,0.7741197137279067,0.0,0.12533649954694995,0.0,0.7982517855333519,0.06492162490266051,0.1368265895639876,0.0
2012-12-17,3009451.18917,304351.18917,2705100.0,0.8988682088397854,Bull,1.0,0.0,0.0,0.0,0.7744269149096166,0.0,0.1244412939301688,0.0,0.8096505384845143,0.06381799871463503,0.12653146280085073,0.0
