date,Financial,Telecom,0050
2011-12-01,0.8875000000000001,0.1,0.0125
2011-12-02,0.8875000000000001,0.1,0.0125
2011-12-05,0.8875000000000001,0.1,0.0125
2011-12-06,0.8875000000000001,0.1,0.0125
2011-12-07,0.8875000000000001,0.1,0.0125
2011-12-08,0.8875000000000001,0.1,0.0125
2011-12-09,0.8875000000000001,0.1,0.0125
2011-12-12,0.8875000000000001,0.1,0.0125
2011-12-13,0.8875000000000001,0.1,0.0125
2011-12-14,0.8875000000000001,0.1,0.0125
2011-12-15,0.8875000000000001,0.1,0.0125
2011-12-16,0.8875000000000001,0.1,0.0125
2011-12-19,0.8875000000000001,0.1,0.0125
2011-12-20,0.8875000000000001,0.1,0.0125
2011-12-21,0.8875000000000001,0.1,0.0125
2011-12-22,0.8875000000000001,0.1,0.0125
2011-12-23,0.8875000000000001,0.1,0.0125
2011-12-26,0.8875000000000001,0.1,0.0125
2011-12-27,0.8875000000000001,0.1,0.0125
2011-12-28,0.8707521892162114,0.1060636520522891,0.02318415873149951
2011-12-29,0.8479806602966855,0.11581199678031873,0.03620734292299581
2011-12-30,0.8318587450098393,0.11888700153228852,0.049254253457872224
2012-01-02,0.8187864554891207,0.12512092168561698,0.056092622825262395
2012-01-03,0.8187864554891207,0.12512092168561698,0.056092622825262395
2012-01-04,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-05,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-06,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-09,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-10,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-11,0.8124972093617071,0.12134426810967842,0.06615852252861433
2012-01-12,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-13,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-16,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-17,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-18,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-30,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-01-31,0.8154267067119638,0.11122169196793347,0.07335160132010256
2012-02-01,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-02,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-03,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-04,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-06,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-07,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-08,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-09,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-10,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-13,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-14,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-15,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-16,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-17,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-20,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-21,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-22,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-23,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-24,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-02-29,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-03-01,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-03-02,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-03-03,0.821734375582418,0.10055535006527747,0.07771027435230454
2012-03-05,0.8091901145517923,0.09751452190661052,0.09329536354159715
2012-03-06,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-07,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-08,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-09,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-12,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-13,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-14,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-15,0.8022767307673473,0.09097904783861906,0.10674422139403349
2012-03-16,0.8064566199302303,0.07801685505059594,0.11552652501917382
2012-03-19,0.8064566199302303,0.07801685505059594,0.11552652501917382
2012-03-20,0.8064566199302303,0.07801685505059594,0.11552652501917382
2012-03-21,0.8064566199302303,0.07801685505059594,0.11552652501917382
2012-03-22,0.8064566199302303,0.07801685505059594,0.11552652501917382
2012-03-23,0.811675144974922,0.06692186742524611,0.12140298759983188
2012-03-26,0.811675144974922,0.06692186742524611,0.12140298759983188
2012-03-27,0.811675144974922,0.06692186742524611,0.12140298759983188
2012-03-28,0.8018269643960536,0.0772337779048081,0.12093925769913827
2012-03-29,0.8018269643960536,0.0772337779048081,0.12093925769913827
2012-03-30,0.7936259147794292,0.0879038136555543,0.11847027156501642
2012-04-02,0.7936259147794292,0.0879038136555543,0.11847027156501642
2012-04-03,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-05,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-06,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-09,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-10,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-11,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-12,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-13,0.7919425813915622,0.09871232182631065,0.10934509678212725
2012-04-16,0.7854284482792898,0.11027842073162797,0.10429313098908233
2012-04-17,0.7793630970410047,0.12433484679507742,0.09630205616391774
2012-04-18,0.7793630970410047,0.12433484679507742,0.09630205616391774
2012-04-19,0.7793630970410047,0.12433484679507742,0.09630205616391774
2012-04-20,0.7793630970410047,0.12433484679507742,0.09630205616391774
2012-04-23,0.5,0.32693463598703404,0.17306536401296596
2012-04-24,0.7938924342925556,0.14285989587898656,0.06324766982845792
2012-04-25,0.7895929259083129,0.1536408038504833,0.056766270241203905
2012-04-26,0.7895929259083129,0.1536408038504833,0.056766270241203905
2012-04-27,0.5,0.41342983194257743,0.08657016805742263
2012-04-30,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-02,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-03,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-04,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-07,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-08,0.7980543539437307,0.1665406454229297,0.035405000633339456
2012-05-09,0.5,0.46190880234029574,0.03809119765970428
2012-05-10,0.5,0.46190880234029574,0.03809119765970428
2012-05-11,0.5,0.46190880234029574,0.03809119765970428
2012-05-14,0.5,0.46190880234029574,0.03809119765970428
2012-05-15,0.5,0.46190880234029574,0.03809119765970428
2012-05-16,0.5,0.46190880234029574,0.03809119765970428
2012-05-17,0.5,0.46190880234029574,0.03809119765970428
2012-05-18,0.5,0.46190880234029574,0.03809119765970428
2012-05-21,0.5,0.46190880234029574,0.03809119765970428
2012-05-22,0.5,0.46190880234029574,0.03809119765970428
2012-05-23,0.5,0.46190880234029574,0.03809119765970428
2012-05-24,0.5,0.46190880234029574,0.03809119765970428
2012-05-25,0.5,0.46190880234029574,0.03809119765970428
2012-05-28,0.5,0.46190880234029574,0.03809119765970428
2012-05-29,0.5,0.46190880234029574,0.03809119765970428
2012-05-30,0.5,0.46190880234029574,0.03809119765970428
2012-05-31,0.5,0.46190880234029574,0.03809119765970428
2012-06-01,0.5,0.46190880234029574,0.03809119765970428
2012-06-04,0.5,0.46190880234029574,0.03809119765970428
2012-06-05,0.5,0.46190880234029574,0.03809119765970428
2012-06-06,0.5,0.46190880234029574,0.03809119765970428
2012-06-07,0.5,0.46190880234029574,0.03809119765970428
2012-06-08,0.5,0.46190880234029574,0.03809119765970428
2012-06-11,0.5,0.46190880234029574,0.03809119765970428
2012-06-12,0.5,0.46190880234029574,0.03809119765970428
2012-06-13,0.5,0.46190880234029574,0.03809119765970428
2012-06-14,0.5,0.46190880234029574,0.03809119765970428
2012-06-15,0.5,0.46190880234029574,0.03809119765970428
2012-06-18,0.5,0.46190880234029574,0.03809119765970428
2012-06-19,0.5,0.46190880234029574,0.03809119765970428
2012-06-20,0.5,0.46190880234029574,0.03809119765970428
2012-06-21,0.5,0.46190880234029574,0.03809119765970428
2012-06-22,0.5,0.46190880234029574,0.03809119765970428
2012-06-25,0.5,0.46190880234029574,0.03809119765970428
2012-06-26,0.5,0.46190880234029574,0.03809119765970428
2012-06-27,0.5,0.46190880234029574,0.03809119765970428
2012-06-28,0.5,0.46190880234029574,0.03809119765970428
2012-06-29,0.5,0.46190880234029574,0.03809119765970428
2012-07-02,0.5,0.46190880234029574,0.03809119765970428
2012-07-03,0.5,0.46190880234029574,0.03809119765970428
2012-07-04,0.5,0.46190880234029574,0.03809119765970428
2012-07-05,0.5,0.46190880234029574,0.03809119765970428
2012-07-06,0.5,0.46190880234029574,0.03809119765970428
2012-07-09,0.5,0.46190880234029574,0.03809119765970428
2012-07-10,0.5,0.46190880234029574,0.03809119765970428
2012-07-11,0.5,0.46190880234029574,0.03809119765970428
2012-07-12,0.5,0.46190880234029574,0.03809119765970428
2012-07-13,0.5,0.46190880234029574,0.03809119765970428
2012-07-16,0.5,0.46190880234029574,0.03809119765970428
2012-07-17,0.5,0.46190880234029574,0.03809119765970428
2012-07-18,0.5,0.46190880234029574,0.03809119765970428
2012-07-19,0.5,0.46190880234029574,0.03809119765970428
2012-07-20,0.5,0.46190880234029574,0.03809119765970428
2012-07-23,0.5,0.46190880234029574,0.03809119765970428
2012-07-24,0.5,0.46190880234029574,0.03809119765970428
2012-07-25,0.5,0.46190880234029574,0.03809119765970428
2012-07-26,0.5,0.46190880234029574,0.03809119765970428
