date,nav_base,nav_l4,rel_l4_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500940511.21989167,1.0
2012-12-06,500770541.429113,500770541.429113,1.0
2012-12-07,500852741.45812535,500852741.45812535,1.0
2012-12-10,497491009.79208136,497491009.79208136,1.0
2012-12-11,498186597.36229795,498186597.36229795,1.0
2012-12-12,503535191.01925147,503535191.01925147,1.0
2012-12-13,505377891.01925147,505377891.01925147,1.0
2012-12-14,504783741.01925147,504783741.01925147,1.0
2012-12-17,501825091.01925147,501825091.01925147,1.0
2012-12-18,502621675.5928233,502621675.5928233,1.0
2012-12-19,504288125.5928233,504288125.5928233,1.0
2012-12-20,498480225.5928233,498480225.5928233,1.0
2012-12-21,492143625.5928233,492143625.5928233,1.0
2012-12-22,493220825.5928233,493220825.5928233,1.0
2012-12-24,493777125.5928233,493777125.5928233,1.0
2012-12-25,499531575.5928233,499531575.5928233,1.0
2012-12-26,497343425.5928233,497343425.5928233,1.0
2012-12-27,498361225.5928233,498361225.5928233,1.0
2012-12-28,501802813.685703,501802813.685703,1.0
2013-01-02,506629213.685703,506629213.685703,1.0
2013-01-03,508294163.685703,508294163.685703,1.0
2013-01-04,503777113.685703,503777113.685703,1.0
2013-01-07,501688063.685703,501688063.685703,1.0
2013-01-08,501751363.685703,501751363.685703,1.0
2013-01-09,501035563.685703,501035563.685703,1.0
2013-01-10,508149513.685703,508149513.685703,1.0
2013-01-11,508360913.685703,508360913.685703,1.0
2013-01-14,508255863.685703,508255863.685703,1.0
2013-01-15,506087763.685703,506087763.685703,1.0
2013-01-16,502640763.685703,502640763.685703,1.0
2013-01-17,499278213.685703,499278213.685703,1.0
2013-01-18,503953663.685703,503953663.685703,1.0
2013-01-21,503325613.685703,503325613.685703,1.0
2013-01-22,505675194.40159565,505675194.40159565,1.0
2013-01-23,505116686.70106477,505116686.70106477,1.0
2013-01-24,501744636.7010648,501744636.7010648,1.0
2013-01-25,500074886.7010648,500074886.7010648,1.0
2013-01-28,505781661.2609667,505781661.2609667,1.0
2013-01-29,509091561.2609667,509091561.2609667,1.0
2013-01-30,509678411.2609667,509678411.2609667,1.0
2013-01-31,513760011.2609667,513760011.2609667,1.0
2013-02-01,514910661.2609667,514910661.2609667,1.0
2013-02-04,530102961.2609667,530102961.2609667,1.0
2013-02-05,527521461.2609667,527521461.2609667,1.0
2013-02-06,530585611.2609667,530585611.2609667,1.0
2013-02-18,531266161.2609668,531266161.2609668,1.0
2013-02-19,529216161.2609667,529216161.2609667,1.0
2013-02-20,536823711.2609667,536823711.2609667,1.0
2013-02-21,529708361.2609667,529708361.2609667,1.0
2013-02-22,529227311.2609667,529227311.2609667,1.0
2013-02-23,533492111.2609667,533492111.2609667,1.0
2013-02-25,528707011.2609667,528707011.2609667,1.0
2013-02-26,526624011.2609667,526624011.2609667,1.0
2013-02-27,525887461.2609667,525887461.2609667,1.0
2013-03-01,529413611.2609667,529413611.2609667,1.0
2013-03-04,521076311.2609667,521076311.2609667,1.0
2013-03-05,525848311.2609667,525848311.2609667,1.0
2013-03-06,525143611.2609667,525143611.2609667,1.0
2013-03-07,526065711.2609667,526065711.2609667,1.0
2013-03-08,534446161.2609667,534446161.2609667,1.0
2013-03-11,533546061.2609667,533546061.2609667,1.0
2013-03-12,529166361.2609667,529166361.2609667,1.0
2013-03-13,528934861.2609667,528934861.2609667,1.0
2013-03-14,527964835.14796597,527964835.14796597,1.0
2013-03-15,527224802.86308163,527224802.86308163,1.0
2013-03-18,518936402.86308163,518936402.86308163,1.0
2013-03-19,518633152.86308163,518633152.86308163,1.0
2013-03-20,515914702.86308163,515914702.86308163,1.0
2013-03-21,515506252.86308163,515506252.86308163,1.0
2013-03-22,513088802.86308163,513088802.86308163,1.0
2013-03-25,520461202.86308163,520461202.86308163,1.0
2013-03-26,518637752.86308163,518637752.86308163,1.0
2013-03-27,522803102.86308163,522803102.86308163,1.0
2013-03-28,521388702.86308163,521388702.86308163,1.0
2013-03-29,523699502.86308163,523699502.86308163,1.0
2013-04-01,521649152.86308163,521649152.86308163,1.0
2013-04-02,520165852.86308163,520165852.86308163,1.0
2013-04-03,522327302.86308163,522327302.86308163,1.0
2013-04-08,508598902.86308163,508598902.86308163,1.0
2013-04-09,509152852.86308163,509152852.86308163,1.0
2013-04-10,509042152.86308163,509042152.86308163,1.0
2013-04-11,511141802.86308163,511141802.86308163,1.0
2013-04-12,509916152.86308163,509916152.86308163,1.0
2013-04-15,507418102.86308163,507418102.86308163,1.0
2013-04-16,506440752.86308163,506440752.86308163,1.0
2013-04-17,501156552.86308163,501156552.86308163,1.0
2013-04-18,501293352.86308163,501293352.86308163,1.0
2013-04-19,508830352.86308163,508830352.86308163,1.0
2013-04-22,509552992.8824362,509552992.8824362,1.0
2013-04-23,510423242.8824362,510423242.8824362,1.0
2013-04-24,512813842.8824362,512813842.8824362,1.0
2013-04-25,511665142.8824362,511665142.8824362,1.0
2013-04-26,510446792.8824362,510446792.8824362,1.0
2013-04-29,510514692.8824362,510514692.8824362,1.0
2013-04-30,513830092.8824362,513830092.8824362,1.0
2013-05-02,516055542.8824362,516055542.8824362,1.0
2013-05-03,518069592.8824362,518069592.8824362,1.0
2013-05-06,518091642.8824362,518091642.8824362,1.0
2013-05-07,518355082.7015005,518355082.7015005,1.0
2013-05-08,521233983.6847886,521233983.6847886,1.0
2013-05-09,522673183.68478864,522673183.68478864,1.0
2013-05-10,521832183.6847886,521832183.6847886,1.0
2013-05-13,519075883.6847886,519075883.6847886,1.0
2013-05-14,519398133.6847886,519398133.6847886,1.0
2013-05-15,524147583.68478864,524147583.68478864,1.0
2013-05-16,532332533.6847886,532332533.6847886,1.0
2013-05-17,531269233.6847886,531269233.6847886,1.0
2013-05-20,531184533.6847886,531184533.6847886,1.0
2013-05-21,530611233.6847886,530611233.6847886,1.0
